epoch;acc;loss;val_acc;val_loss
0;0.973888264789;0.0821414787814;0.978366628837;0.0709771082087
1;0.993140988757;0.0235584575305;0.978056101976;0.073096641876
2;0.997186983405;0.0121960037338;0.980695580291;0.0693032252055
3;0.998474760483;0.00756375915024;0.980385053369;0.0727569918288
4;0.998611758045;0.00699482209822;0.979556981741;0.0796590069153
5;0.99796330292;0.00773474820027;0.976813994596;0.108426585243
6;0.997415312674;0.00835381272229;0.977124521333;0.10385211697
7;0.997954169749;0.00915417471648;0.977642066224;0.12647512835
8;0.998602624873;0.00615643479715;0.978004347561;0.119161770032
9;0.999251079997;0.0032814046585;0.978211365468;0.118422078917
0;0.999452009754;0.00261549586256;0.978004347438;0.119561100516
1;0.99915974829;0.00460513521146;0.974588552033;0.152504799368
2;0.997990702432;0.00739636753697;0.977538557085;0.153290040354
3;0.999050150241;0.00469228780857;0.975675395983;0.15864256639
4;0.9994063439;0.00303566743341;0.976865748949;0.148465797232
5;0.99927847951;0.00332763671388;0.976399958658;0.160561784593
6;0.999479409267;0.00292899773827;0.977383293717;0.151387404346
7;0.999031883899;0.00421583950097;0.977590311624;0.161945936961
8;0.998995351216;0.00443984019721;0.976192940813;0.175937633213
9;0.99939721073;0.00310338539393;0.978004347561;0.162804738193
